fuente_fichero,nombre_original,etiqueta_definicion_oficial,tipo_oficial,decimales,codigos_categorias_oficiales,valores_perdidos_especiales,bloque_tematico,papel_analitico_sugerido,transformacion_sugerida,observaciones,n_registros_fuente,n_no_nulos_csv,n_nulos_csv,valores_observados_csv,diccionario_oficial
adulto,CCAA,Comunidad Autónoma de residencia,código alfanumérico,,"01 = Andalucía; 02 = Aragón; 03 = Asturias, Principado de; 04 = Balears, Illes; 05 = Canarias; 06 = Cantabria; 07 = Castilla y León; 08 = Castilla - La Mancha; 09 = Cataluña; 10 = Comunitat Valenciana; 11 = Extremadura; 12 = Galicia; 13 = Madrid, Comunidad de; 14 = Murcia, Región de; 15 = Navarra, Comunidad Foral de; 16 = País Vasco; 17 = Rioja, La; 18 = Ceuta; 19 = Melilla",No consta código especial en el diccionario; los blancos del CSV son ausencias por filtro/no aplicable cuando corresponda.,Controles y diseño,control,Usar como factor; considerar efectos fijos autonómicos.,,21032,21032,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",TCCAA
adulto,SEXOa,"Identificación del adulto seleccionado: Sexo
01 a 15",código alfanumérico,,1 = Hombre; 2 = Mujer,No consta código especial en el diccionario; los blancos del CSV son ausencias por filtro/no aplicable cuando corresponda.,Controles y diseño,control,Usar como factor; estratificar o probar interacción si procede.,,21032,21032,0,"1, 2",TSEXO
adulto,EDADa,Identificación del adulto seleccionado: Edad. De 015 a 120,numérico,,999 = No contesta,999 = No contesta,Controles y diseño,control,Excluir 999; usar continua y explorar no linealidad o grupos etarios.,,21032,21032,0,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54 … (89 valores únicos)",N_999NC
adulto,A1a,País de nacimiento,código alfanumérico,,1 = Nacidos en España; 2 = Nacidos en el extranjero; 9 = No contesta,9 = No contesta,Controles y diseño,control,Recodificar España/extranjero; 9 como perdido.,,21032,21032,0,"1, 2",T1_A
adulto,FACTORADULTO,"Factor de elevación del adulto (5 enteros, 3 decimales)",numérico,3,No aplica; variable numérica o identificador.,No consta código especial en el diccionario; los blancos del CSV son ausencias por filtro/no aplicable cuando corresponda.,Controles y diseño,diseño,Aplicar como ponderación muestral; no tratar como predictor.,,21032,21032,0,"14.98, 30.391, 39.43, 46.802, 61.715, 62.294, 62.305, 84, 85.438, 85.781, 85.797, 86.687, 87.412, 88.952, 90.071, 90.075, 90.781, 93.635, 95.227, 96.096, 100.636, 102.524, 103.6, 107.367, 112.048, 112.515, 112.805, 112.921, 113.464, 113.986, 114.267, 114.485, 118.105, 118.823, 118.826, 118.904, 119.185, 119.371, 120.432, 124.211 … (7898 valores únicos)",
adulto,NIVEST,Nivel de estudios del adulto seleccionado,código alfanumérico,,"01 = No procede, es menor de 10 años; 02 = No sabe leer o escribir; 03 = Educación Primaria incompleta (Ha asistido menos de 5 años a la escuela); 04 = Educación Primaria completa; 05 = Primera etapa de Enseñanza Secundaria, con o sin título (2º ESO aprobado, EGB, Bachillerato Elemental); 06 = Estudios de Bachillerato; 07 = Enseñanzas profesionales de grado medio o equivalentes; 08 = Enseñanzas profesionales de grado superior o equivalentes; 09 = Estudios universitarios o equivalentes; 99 = No contesta",99 = No contesta,Socioeconómico,exposición,Agrupar en bajo/medio/alto con una regla documentada; 99 como perdido.,,21032,21032,0,"2, 4, 5, 6, 7, 8, 9, 99",TESTUD
hogar,A11,Situación laboral actual,código alfanumérico,,"1 = Trabajando; 2 = En desempleo; 3 = Jubilado/a, prejubilado/a; 4 = Estudiando; 5 = Incapacitado/a para trabajar; 6 = Las labores del hogar; 7 = Otros; 9 = No contesta",9 = No contesta,Socioeconómico,exposición,Recodificar categorías laborales; 9 como perdido.,Variable procedente del fichero hogar actualizado 16/04/2026. ,47441,47441,0,"1, 2, 3, 4, 5, 6, 7, 9",T11A
hogar,INGRESOS,Ingreso mensual neto: intervalo,código alfanumérico,,01 = Menos de 1100 euros; 02 = De 1100 a menos de 1650 euros; 03 = De 1650 a menos de 2300 euros; 04 = De 2300 a menos de 3800euros; 05 = De 3800 euros en adelante; 99 = No contesta,99 = No contesta,Socioeconómico,exposición,Tratar como ordinal; enlazar por IDENTHOGAR y NORDENa=NORDEN; códigos especiales como perdidos.,Variable procedente del fichero hogar actualizado 16/04/2026. ,47441,47441,0,"1, 2, 3, 4, 5, 99",TINGRES
adulto,CLASE_PR,Variable derivada: Clase social basada en la ocupación de la persona de referencia,código alfanumérico,,1 = Directores/as y gerentes de establecimientos de 10 o más asalariados/as y profesionales tradicionalmente asociados/as a las licenciaturas universitarias; 2 = Directores/as y gerentes de establecimientos de menos de 10 asalariados/ as y profesionales tradicionalmente asociados/as a diplomaturas universitarias y otros/as profesionales de apoyo técnico. Deportistas y artistas; 3 = Ocupaciones intermedias y trabajadores/as por cuenta propia; 4 = Supervisores/as y trabajadores/as en ocupaciones técnicas cualificadas; 5 = Trabajadores/as cualificados/as del sector primario y otros/as trabajadores/as semi-cualificados/as; 6 = Trabajadores/as no cualificados/as; 9 = No contesta,9 = No contesta,Socioeconómico,exposición,Usar como ordinal/categórica; mantener 'no clasificable' separado o como perdido según análisis.,,21032,21032,0,"1, 2, 3, 4, 5, 6, 9",T_CLASE
adulto,C1,Estado de salud percibido en los últimos 12 meses,código alfanumérico,,1 = Muy bueno; 2 = Bueno; 3 = Regular; 4 = Malo; 5 = Muy malo,No consta código especial en el diccionario; los blancos del CSV son ausencias por filtro/no aplicable cuando corresponda.,Resultados de salud,resultado,Resultado ordinal; alternativa binaria: mala/regular (3–5) frente a buena (1–2).,,21032,21032,0,"1, 2, 3, 4, 5",T1C
adulto,C2,Enfermedad o problema de salud crónicos o de larga duración,código alfanumérico,,1 = Sí; 2 = No; 9 = No contesta,9 = No contesta,Resultados de salud,resultado,Resultado binario; 9 como perdido.,,21032,21032,0,"1, 2, 9",TSINOC
adulto,C3a,Grado de limitación durante al menos 6 meses por un problema de salud,código alfanumérico,,"1 = Gravemente limitado/a; 2 = Limitado/a, pero no gravemente; 3 = Nada limitado/a; 9 = No contesta",9 = No contesta,Resultados de salud,resultado,Resultado ordinal; alternativa binaria: cualquier limitación (1–2) frente a ninguna (3); 9 perdido.,,21032,21032,0,"1, 2, 3, 9",T3aC
adulto,IMC,Variable derivada: Índice de masa corporal (IMC),código alfanumérico,,1 = Peso insuficiente; 2 = Normopeso; 3 = Sobrepeso; 4 = Obesidad; 9 = No consta,9 = No consta,Resultados de salud,resultado,Usar categorías oficiales; restringir a 18+ si se interpreta con puntos de corte adultos.,,21032,21032,0,"1, 2, 3, 4, 9",T_IMC
