variable,categoria,n_no_ponderado,peso_poblacional,proporcion_muestra,proporcion_ponderada,prevalencia_salud_menos_buena
educacion_3,alto,4697,9924347.905000,0.223326,0.250615,0.201428
educacion_3,bajo,8394,15990590.933000,0.399106,0.403803,0.345863
educacion_3,medio,6409,13685010.689000,0.304726,0.345582,0.241878
clase_social_1_6,1.0,2558,5654649.361000,0.121624,0.140025,0.197047
clase_social_1_6,2.0,1485,2988593.671000,0.070607,0.074006,0.244109
clase_social_1_6,3.0,4128,8133581.301000,0.196272,0.201410,0.270681
clase_social_1_6,4.0,2620,5192371.559000,0.124572,0.128577,0.321065
clase_social_1_6,5.0,6630,12919411.988000,0.315234,0.319920,0.313688
clase_social_1_6,6.0,2805,5494665.435000,0.133368,0.136063,0.344479
ingresos_5,1.0,3188,4501420.639000,0.151579,0.111839,0.349212
ingresos_5,2.0,3675,5580046.868000,0.174734,0.138637,0.314737
ingresos_5,3.0,3442,6355006.996000,0.163655,0.157891,0.337888
ingresos_5,4.0,5457,11756020.336000,0.259462,0.292081,0.302296
ingresos_5,5.0,4268,12056742.903000,0.202929,0.299552,0.229815
situacion_laboral,desempleo,1810,4013081.550000,0.086059,0.095711,0.312141
situacion_laboral,estudiando,1095,3851061.114000,0.052064,0.091847,0.095293
situacion_laboral,incapacidad,525,980180.027000,0.024962,0.023377,0.794182
situacion_laboral,jubilacion_prejubilacion,6669,9330695.513000,0.317088,0.222534,0.490882
situacion_laboral,labores_hogar,1032,2234021.238000,0.049068,0.053281,0.414827
situacion_laboral,otros,26,47515.657000,0.001236,0.001133,0.277194
situacion_laboral,trabajando,9875,21472720.876000,0.469523,0.512118,0.199077
sexo,hombre,9680,20391253.950000,0.460251,0.486325,0.245400
sexo,mujer,11352,21538022.025000,0.539749,0.513675,0.333780
grupo_edad_4,15-24,1513,5239536.036000,0.071938,0.124961,0.101774
grupo_edad_4,25-44,5206,12103024.421000,0.247528,0.288653,0.173837
grupo_edad_4,45-64,7415,14802309.525000,0.352558,0.353030,0.311226
grupo_edad_4,65+,6898,9784405.993000,0.327976,0.233355,0.505795
nacido_extranjero,0,18395,34434095.006000,0.874620,0.821242,0.301396
nacido_extranjero,1,2637,7495180.969000,0.125380,0.178758,0.242114
ccaa,1,2674,7384019.004000,0.127140,0.176107,0.266675
ccaa,2,1044,1160861.959000,0.049639,0.027686,0.309370
ccaa,3,705,902344.999000,0.033520,0.021521,0.348970
ccaa,4,680,1058312.014000,0.032332,0.025240,0.328843
ccaa,5,874,1974587.986000,0.041556,0.047093,0.328149
ccaa,6,635,516697.040000,0.030192,0.012323,0.323946
ccaa,7,1344,2104424.971000,0.063903,0.050190,0.327075
ccaa,8,1030,1802535.035000,0.048973,0.042990,0.308190
ccaa,9,1802,6865795.986000,0.085679,0.163747,0.298394
ccaa,10,2059,4589863.973000,0.097898,0.109467,0.236385
ccaa,11,1099,915639.974000,0.052254,0.021838,0.235487
ccaa,12,904,2391346.000000,0.042982,0.057033,0.441617
ccaa,13,1876,6020681.958000,0.089197,0.143591,0.243189
ccaa,14,1080,1318075.003000,0.051350,0.031436,0.291911
ccaa,15,854,577530.022000,0.040605,0.013774,0.305060
ccaa,16,1364,1932459.004000,0.064854,0.046089,0.301115
ccaa,17,579,279179.031000,0.027529,0.006658,0.364260
ccaa,18,203,67323.000000,0.009652,0.001606,0.208390
ccaa,19,226,67599.016000,0.010746,0.001612,0.215151
