estimando,n_no_ponderado,n_efectivo_kish,estimacion,bootstrap_se,bootstrap_ic95_inf,bootstrap_ic95_sup,kish_wilson_ic95_inf,kish_wilson_ic95_sup,replicas_bootstrap,semilla
total,21032,12665.39110899,0.29079866,0.00396886,0.28344720,0.29845349,0.28295407,0.29877011,1000,20230826
educacion_bajo,8394,5036.56185874,0.34586342,0.00632742,0.33366706,0.35771257,0.33284924,0.35911254,1000,20230826
educacion_medio,6409,3918.76959410,0.24187786,0.00669437,0.22860253,0.25507982,0.22872754,0.25553374,1000,20230826
educacion_alto,4697,2934.15723836,0.20142793,0.00719344,0.18784926,0.21556438,0.18731068,0.21632594,1000,20230826
clase_1,2558,1593.09930379,0.19704659,0.00948002,0.17922693,0.21676225,0.17825282,0.21729788,1000,20230826
clase_2,1485,906.59944549,0.24410893,0.01366581,0.21741992,0.27131473,0.21726521,0.27311204,1000,20230826
clase_3,4128,2538.94074799,0.27068055,0.00887385,0.25328482,0.28812835,0.25375397,0.28830001,1000,20230826
clase_4,2620,1624.64992893,0.32106513,0.01124624,0.29981914,0.34460640,0.29880732,0.34416712,1000,20230826
clase_5,6630,3961.17700052,0.31368752,0.00696854,0.29994109,0.32664764,0.29942465,0.32831141,1000,20230826
clase_6,2805,1617.40069777,0.34447852,0.01154554,0.32198477,0.36807655,0.32171286,0.36798118,1000,20230826
ingresos_1,3188,1696.55404570,0.34921234,0.01101407,0.32896118,0.37142628,0.32689160,0.37221438,1000,20230826
ingresos_2,3675,2122.30499160,0.31473673,0.00978854,0.29627919,0.33388426,0.29532831,0.33481460,1000,20230826
ingresos_3,3442,2145.42902035,0.33788764,0.00961225,0.31672720,0.35646078,0.31817876,0.35817601,1000,20230826
ingresos_4,5457,3601.80217070,0.30229624,0.00744566,0.28874088,0.31708156,0.28751516,0.31749860,1000,20230826
ingresos_5,4268,2865.87509899,0.22981532,0.00769735,0.21574506,0.24573297,0.21478002,0.24557397,1000,20230826
