exposicion,modelo,n,prevalencia_desfavorecida,prevalencia_referencia,diferencia_prevalencias,razon_prevalencias
educacion,M0_bruto,18640,0.34294559,0.20005026,0.14289533,1.71429716
educacion,M1_edad_sexo,18640,0.30619833,0.21057761,0.09562072,1.45408780
educacion,M2_principal,18640,0.30704438,0.21137704,0.09566733,1.45259093
educacion,M3_actividad,18640,0.29414568,0.22740664,0.06673904,1.29347885
educacion,M4_apoyo,18640,0.29680710,0.22537559,0.07143151,1.31694432
clase_social,M0_bruto,19360,0.34252428,0.19654816,0.14597612,1.74269901
clase_social,M1_edad_sexo,19360,0.33125494,0.21192718,0.11932776,1.56306019
clase_social,M2_principal,19360,0.33451111,0.21470460,0.11980650,1.55800622
clase_social,M3_actividad,19360,0.31759477,0.23075797,0.08683680,1.37631114
clase_social,M4_apoyo,19360,0.31859954,0.22938245,0.08921709,1.38894469
ingresos,M0_bruto,19165,0.34212035,0.22798678,0.11413356,1.50061483
ingresos,M1_edad_sexo,19165,0.33004939,0.24674504,0.08330435,1.33761306
ingresos,M2_principal,19165,0.33512716,0.24561064,0.08951652,1.36446515
ingresos,M3_actividad,19165,0.32430126,0.25559471,0.06870655,1.26881052
ingresos,M4_apoyo,19165,0.31698693,0.25959898,0.05738795,1.22106386
