exposicion,modelo,muestra,categoria,referencia,n,prevalencia_ajustada,diferencia_vs_ref,razon_vs_ref,replicas_validas,prev_ic95_inf,prev_ic95_sup,dp_ic95_inf,dp_ic95_sup,rp_ic95_inf,rp_ic95_sup
educacion,M2_principal,disponible,alto,alto,19500,0.21318733,0.00000000,1.00000000,1000,0.19819188,0.22846583,0.00000000,0.00000000,1.00000000,1.00000000
educacion,M2_principal,disponible,medio,alto,19500,0.27272352,0.05953619,1.27926701,1000,0.25927994,0.28625941,0.03908640,0.07779527,1.17466855,1.38495028
educacion,M2_principal,disponible,bajo,alto,19500,0.31042833,0.09724100,1.45612936,1000,0.29792699,0.32186830,0.07781916,0.11670167,1.34792735,1.57769356
clase_social,M2_principal,disponible,1,1,20226,0.21547686,0.00000000,1.00000000,1000,0.19628752,0.23541248,0.00000000,0.00000000,1.00000000,1.00000000
clase_social,M2_principal,disponible,2,1,20226,0.24906092,0.03358407,1.15585928,1000,0.22212772,0.27866586,0.00023478,0.06946083,1.00099749,1.33270290
clase_social,M2_principal,disponible,3,1,20226,0.27020552,0.05472867,1.25398860,1000,0.25238241,0.28803241,0.02743012,0.07833213,1.11696643,1.38917826
clase_social,M2_principal,disponible,4,1,20226,0.30591827,0.09044141,1.41972680,1000,0.28613560,0.32702144,0.06283043,0.11856517,1.27392637,1.59607384
clase_social,M2_principal,disponible,5,1,20226,0.31293108,0.09745422,1.45227234,1000,0.29907648,0.32703808,0.07422628,0.12034665,1.31966795,1.60474930
clase_social,M2_principal,disponible,6,1,20226,0.33742788,0.12195102,1.56595879,1000,0.31694405,0.35894165,0.09556625,0.14885788,1.41378816,1.73598383
ingresos,M2_principal,disponible,5,5,20030,0.24711967,0.00000000,1.00000000,1000,0.23259016,0.26283294,0.00000000,0.00000000,1.00000000,1.00000000
ingresos,M2_principal,disponible,4,5,20030,0.30217135,0.05505167,1.22277334,1000,0.28777838,0.31621807,0.03455488,0.07463575,1.13263557,1.31751740
ingresos,M2_principal,disponible,3,5,20030,0.32087014,0.07375047,1.29844031,1000,0.30265566,0.34044030,0.05080191,0.09554285,1.19879788,1.40809284
ingresos,M2_principal,disponible,2,5,20030,0.29949239,0.05237272,1.21193262,1000,0.28262447,0.31677265,0.02786807,0.07584403,1.10788271,1.31852028
ingresos,M2_principal,disponible,1,5,20030,0.34297520,0.09585553,1.38789111,1000,0.32174647,0.36462205,0.06938087,0.12268211,1.27292107,1.51424388
