exposicion,modelo,muestra,n,p,converge,iteraciones,loglik_ponderada_normalizada
educacion,M0_bruto,disponible,19500,3,True,5,-11260.909613735585
educacion,M0_bruto,comun_M0_M4,18640,3,True,5,-10696.173560089323
educacion,M1_edad_sexo,disponible,19500,6,True,6,-10394.0745822892
educacion,M1_edad_sexo,comun_M0_M4,18640,6,True,6,-9867.052575586742
educacion,M2_principal,disponible,19500,25,True,6,-10299.010945712933
educacion,M2_principal,comun_M0_M4,18640,25,True,6,-9776.904453928715
educacion,M3_actividad,disponible,19265,28,True,6,-9986.486392335486
educacion,M3_actividad,comun_M0_M4,18640,28,True,6,-9648.684327010988
educacion,M4_apoyo,disponible,18640,39,True,6,-9513.902843411626
educacion,M4_apoyo,comun_M0_M4,18640,39,True,6,-9513.902843411626
clase_social,M0_bruto,disponible,20226,6,True,5,-12045.623183624895
clase_social,M0_bruto,comun_M0_M4,19360,6,True,5,-11473.552881664787
clase_social,M1_edad_sexo,disponible,20226,9,True,6,-10901.27350950853
clase_social,M1_edad_sexo,comun_M0_M4,19360,9,True,6,-10383.327767958774
clase_social,M2_principal,disponible,20226,28,True,6,-10809.04172995679
clase_social,M2_principal,comun_M0_M4,19360,28,True,6,-10296.180177358572
clase_social,M3_actividad,disponible,19992,31,True,6,-10496.080563353533
clase_social,M3_actividad,comun_M0_M4,19360,31,True,6,-10163.780763410548
clase_social,M4_apoyo,disponible,19360,42,True,6,-10018.1967225277
clase_social,M4_apoyo,comun_M0_M4,19360,42,True,6,-10018.1967225277
ingresos,M0_bruto,disponible,20030,5,True,5,-12021.112028345833
ingresos,M0_bruto,comun_M0_M4,19165,5,True,5,-11447.737409240104
ingresos,M1_edad_sexo,disponible,20030,8,True,6,-10867.661584781776
ingresos,M1_edad_sexo,comun_M0_M4,19165,8,True,6,-10342.30705073942
ingresos,M2_principal,disponible,20030,27,True,6,-10765.135890735168
ingresos,M2_principal,comun_M0_M4,19165,27,True,6,-10248.61974012936
ingresos,M3_actividad,disponible,19778,30,True,6,-10420.382731834732
ingresos,M3_actividad,comun_M0_M4,19165,30,True,6,-10095.697861326533
ingresos,M4_apoyo,disponible,19165,41,True,6,-9961.97288592701
ingresos,M4_apoyo,comun_M0_M4,19165,41,True,6,-9961.97288592701
