exposicion,modelo,muestra,categoria,referencia,n,prevalencia_ajustada,diferencia_vs_ref,razon_vs_ref
educacion,M0_bruto,disponible,alto,alto,19500,0.20142793,0.00000000,1.00000000
educacion,M0_bruto,disponible,medio,alto,19500,0.24187786,0.04044993,1.20081591
educacion,M0_bruto,disponible,bajo,alto,19500,0.34586342,0.14443549,1.71705793
educacion,M0_bruto,comun_M0_M4,alto,alto,18640,0.20005026,0.00000000,1.00000000
educacion,M0_bruto,comun_M0_M4,medio,alto,18640,0.23588731,0.03583706,1.17914027
educacion,M0_bruto,comun_M0_M4,bajo,alto,18640,0.34294559,0.14289533,1.71429716
educacion,M1_edad_sexo,disponible,alto,alto,19500,0.21222082,0.00000000,1.00000000
educacion,M1_edad_sexo,disponible,medio,alto,19500,0.27439121,0.06217039,1.29295144
educacion,M1_edad_sexo,disponible,bajo,alto,19500,0.30955492,0.09733410,1.45864541
educacion,M1_edad_sexo,comun_M0_M4,alto,alto,18640,0.21057761,0.00000000,1.00000000
educacion,M1_edad_sexo,comun_M0_M4,medio,alto,18640,0.26899748,0.05841987,1.27742681
educacion,M1_edad_sexo,comun_M0_M4,bajo,alto,18640,0.30619833,0.09562072,1.45408780
educacion,M2_principal,disponible,alto,alto,19500,0.21318733,0.00000000,1.00000000
educacion,M2_principal,disponible,medio,alto,19500,0.27272352,0.05953619,1.27926701
educacion,M2_principal,disponible,bajo,alto,19500,0.31042833,0.09724100,1.45612936
educacion,M2_principal,comun_M0_M4,alto,alto,18640,0.21137704,0.00000000,1.00000000
educacion,M2_principal,comun_M0_M4,medio,alto,18640,0.26752680,0.05614975,1.26563789
educacion,M2_principal,comun_M0_M4,bajo,alto,18640,0.30704438,0.09566733,1.45259093
educacion,M3_actividad,disponible,alto,alto,19265,0.22784499,0.00000000,1.00000000
educacion,M3_actividad,disponible,medio,alto,19265,0.27288755,0.04504256,1.19768950
educacion,M3_actividad,disponible,bajo,alto,19265,0.29511290,0.06726791,1.29523543
educacion,M3_actividad,comun_M0_M4,alto,alto,18640,0.22740664,0.00000000,1.00000000
