analisis,paso,n_excluidos_paso,n_restantes
educacion,Registros iniciales,0,21032
educacion,Resultado ausente,0,21032
educacion,Exposición ausente,1532,19500
educacion,Covariables/diseño ausentes,0,19500
clase_social,Registros iniciales,0,21032
clase_social,Resultado ausente,0,21032
clase_social,Exposición ausente,806,20226
clase_social,Covariables/diseño ausentes,0,20226
ingresos,Registros iniciales,0,21032
ingresos,Resultado ausente,0,21032
ingresos,Exposición ausente,1002,20030
ingresos,Covariables/diseño ausentes,0,20030
situacion_laboral,Registros iniciales,0,21032
situacion_laboral,Resultado ausente,0,21032
situacion_laboral,Exposición ausente,0,21032
situacion_laboral,Covariables/diseño ausentes,0,21032
