variable,n_total,n_ausente,pct_ausente_no_ponderado,peso_total,peso_ausente,pct_ausente_ponderado,codigos_especiales
NIVEST,21032,1532,0.072841,41929275.975000,2329326.448000,0.055554,99
INGRESOS,21032,1002,0.047642,41929275.975000,1680038.233000,0.040068,99
IMC,21032,997,0.047404,41929275.975000,1959276.317000,0.046728,9
CLASE_PR,21032,806,0.038323,41929275.975000,1546002.660000,0.036872,9
CUADROS_DEPRESIVOS,21032,699,0.033235,41929275.975000,1324896.558000,0.031598,9
SEVERIDAD_DEPRESIVA,21032,699,0.033235,41929275.975000,1324896.558000,0.031598,9
S3,21032,560,0.026626,41929275.975000,1119382.797000,0.026697,9
O1,21032,343,0.016308,41929275.975000,650714.329000,0.015519,9
O7,21032,302,0.014359,41929275.975000,627773.889000,0.014972,9
S1,21032,287,0.013646,41929275.975000,626329.214000,0.014938,9
O2,21032,271,0.012885,41929275.975000,548021.237000,0.013070,9
R1,21032,259,0.012315,41929275.975000,495257.443000,0.011812,99
S2,21032,257,0.012219,41929275.975000,497756.880000,0.011871,9
C2,21032,252,0.011982,41929275.975000,562761.728000,0.013422,9
C3a,21032,156,0.007417,41929275.975000,351491.863000,0.008383,9
Q1,21032,113,0.005373,41929275.975000,246220.980000,0.005872,9
CMD1,21032,51,0.002425,41929275.975000,119500.490000,0.002850,999
A11,21032,0,0.000000,41929275.975000,0.000000,0.000000,9
A1a,21032,0,0.000000,41929275.975000,0.000000,0.000000,9
C1,21032,0,0.000000,41929275.975000,0.000000,0.000000,ninguno
CCAA,21032,0,0.000000,41929275.975000,0.000000,0.000000,ninguno
EDADa,21032,0,0.000000,41929275.975000,0.000000,0.000000,999
FACTORADULTO,21032,0,0.000000,41929275.975000,0.000000,0.000000,ninguno
INDICE_BIENESTAR,21032,0,0.000000,41929275.975000,0.000000,0.000000,999
SEXOa,21032,0,0.000000,41929275.975000,0.000000,0.000000,ninguno
